timestamp,flow_mgd
2024-01-01 00:00,2.35
2024-01-01 01:00,2.22
2024-01-01 02:00,2.15
2024-01-01 03:00,2.10
2024-01-01 04:00,2.12
2024-01-01 05:00,2.25
2024-01-01 06:00,2.55
2024-01-01 07:00,3.10
2024-01-01 08:00,3.45
2024-01-01 09:00,3.60
2024-01-01 10:00,3.50
2024-01-01 11:00,3.35
2024-01-01 12:00,3.30
2024-01-01 13:00,3.25
2024-01-01 14:00,3.15
2024-01-01 15:00,3.20
2024-01-01 16:00,3.30
2024-01-01 17:00,3.55
2024-01-01 18:00,3.85
2024-01-01 19:00,4.10
2024-01-01 20:00,3.90
2024-01-01 21:00,3.50
2024-01-01 22:00,3.05
2024-01-01 23:00,2.70
2024-01-02 00:00,2.40
2024-01-02 01:00,2.25
2024-01-02 02:00,2.18
2024-01-02 03:00,2.12
2024-01-02 04:00,2.15
2024-01-02 05:00,2.28
2024-01-02 06:00,2.60
2024-01-02 07:00,3.15
2024-01-02 08:00,3.50
2024-01-02 09:00,3.65
2024-01-02 10:00,3.55
2024-01-02 11:00,3.40
2024-01-02 12:00,3.35
2024-01-02 13:00,3.28
2024-01-02 14:00,3.18
2024-01-02 15:00,3.22
2024-01-02 16:00,3.32
2024-01-02 17:00,3.58
2024-01-02 18:00,3.90
2024-01-02 19:00,4.15
2024-01-02 20:00,3.95
2024-01-02 21:00,3.55
2024-01-02 22:00,3.10
2024-01-02 23:00,2.75
2024-01-03 00:00,2.45
2024-01-03 01:00,2.30
2024-01-03 02:00,2.35
2024-01-03 03:00,2.50
2024-01-03 04:00,2.85
2024-01-03 05:00,3.40
2024-01-03 06:00,4.10
2024-01-03 07:00,5.20
2024-01-03 08:00,6.45
2024-01-03 09:00,7.80
2024-01-03 10:00,8.45
2024-01-03 11:00,7.90
2024-01-03 12:00,7.10
2024-01-03 13:00,6.40
2024-01-03 14:00,5.80
2024-01-03 15:00,5.30
2024-01-03 16:00,4.90
2024-01-03 17:00,4.55
2024-01-03 18:00,4.30
2024-01-03 19:00,4.15
2024-01-03 20:00,3.95
2024-01-03 21:00,3.60
2024-01-03 22:00,3.25
2024-01-03 23:00,2.90
